,Origen,Destino,Numero de Vuelo,Salida,Llegada
628,London [LHR],Toronto Pearson Airport (YYZ),UL 2855,13:21,
629,Munich [MUC],Toronto Pearson Airport (YYZ),A3 3084,12:04,14:09
630,Munich [MUC],Toronto Pearson Airport (YYZ),LH 6790,12:04,14:09
631,Munich [MUC],Toronto Pearson Airport (YYZ),OS 8209,12:04,14:09
632,Munich [MUC],Toronto Pearson Airport (YYZ),OU 5928,12:04,14:09
633,Munich [MUC],Toronto Pearson Airport (YYZ),UA 8553,12:04,14:09
634,New York [JFK],Toronto Pearson Airport (YYZ),QK 555,13:43,15:00
635,"Halifax, NS [YHZ]",Toronto Pearson Airport (YYZ),PD 206,13:35,
636,Richmond [YVR],Toronto Pearson Airport (YYZ),AC 102,7:30,
637,"Halifax, NS [YHZ]",Toronto Pearson Airport (YYZ),TS 7926,13:35,
638,Richmond [YVR],Toronto Pearson Airport (YYZ),OS 8297,7:30,
639,Richmond [YVR],Toronto Pearson Airport (YYZ),LH 6659,7:30,
640,Richmond [YVR],Toronto Pearson Airport (YYZ),EI 8642,7:30,
641,Richmond [YVR],Toronto Pearson Airport (YYZ),AV 6905,7:30,
642,Nassau [NAS],Toronto Pearson Airport (YYZ),WS 2755,11:45,
643,Frankfurt [FRA],Toronto Pearson Airport (YYZ),3S 426,13:43,15:06
644,Nanaimo [YCD],Richmond Vancouver Airport (YVR),NH 6805,14:55,
645,Ottawa [YOW],Toronto Pearson Airport (YYZ),SK 3891,14:00,
646,Ottawa [YOW],Toronto Pearson Airport (YYZ),OS 8394,14:00,
647,Ottawa [YOW],Toronto Pearson Airport (YYZ),LH 6705,14:00,
648,Ottawa [YOW],Toronto Pearson Airport (YYZ),EI 8553,14:00,
649,Ottawa [YOW],Toronto Pearson Airport (YYZ),AV 6935,14:00,
650,San Salvador [SAL],Toronto Pearson Airport (YYZ),AV 626,8:05,
651,San Salvador [SAL],Toronto Pearson Airport (YYZ),AC 6161,8:05,
652,San Salvador [SAL],Toronto Pearson Airport (YYZ),TK 9417,8:05,
653,Dallas [DFW],Toronto Pearson Airport (YYZ),AC 1030,11:00,15:19
654,Albuquerque [ABQ],New Philadelphia Philadelphia Airport (PHL),LN 43MF,14:10,19:47
655,New York [JFK],Toronto Pearson Airport (YYZ),UA 6631,13:25,
656,"Regina, Saskatchewan [YQR]",Toronto Pearson Airport (YYZ),AC 1924,10:15,
657,Dallas [DFW],Toronto Pearson Airport (YYZ),UA 8144,11:00,15:19
658,London [LHR],Richmond Vancouver Airport (YVR),MS 9615,14:22,15:26
659,London [LHR],Richmond Vancouver Airport (YVR),NZ 4839,14:22,15:26
660,"Regina, Saskatchewan [YQR]",Toronto Pearson Airport (YYZ),AV 6969,10:15,
661,"Regina, Saskatchewan [YQR]",Toronto Pearson Airport (YYZ),UA 8055,10:15,
662,Denver City [DEN],Toronto Pearson Airport (YYZ),UA 1874,10:02,
663,Denver City [DEN],Toronto Pearson Airport (YYZ),AC 4883,10:02,
664,Rome [FCO],Toronto Pearson Airport (YYZ),AC 891,12:28,14:40
665,Cancun [CUN],Toronto Pearson Airport (YYZ),WG 514,10:22,14:40
666,Rome [FCO],Toronto Pearson Airport (YYZ),LH 6602,12:28,14:40
667,Rome [FCO],Toronto Pearson Airport (YYZ),LX 4852,12:28,14:40
668,Rome [FCO],Toronto Pearson Airport (YYZ),OS 8379,12:28,14:40
669,Rome [FCO],Toronto Pearson Airport (YYZ),SN 9621,12:28,14:40
670,Rome [FCO],Toronto Pearson Airport (YYZ),UA 8589,12:28,14:40
671,Charlotte [CLT],Toronto Pearson Airport (YYZ),AA 5061,13:38,15:03
672,Richmond [YVR],Toronto Pearson Airport (YYZ),PD 302,7:45,
673,Richmond [YVR],Toronto Pearson Airport (YYZ),TS 7902,7:45,
674,St. Johns [YYT],Toronto Pearson Airport (YYZ),DL 512,13:00,15:19
675,St. Johns [YYT],Toronto Pearson Airport (YYZ),Y9 512,13:00,
676,Paris [CDG],Toronto Pearson Airport (YYZ),AC 873,15:40,16:37
677,Boston [BOS],New Philadelphia Philadelphia Airport (PHL),QR 3862,18:25,
678,Paris [CDG],Toronto Pearson Airport (YYZ),ET 1143,15:40,16:37
679,Palm Springs [PSP],Richmond Vancouver Airport (YVR),KL 9711,13:00,
680,Palm Springs [PSP],Richmond Vancouver Airport (YVR),DL 6899,13:00,
681,Powell River [YPW],Richmond Vancouver Airport (YVR),8P 212,15:20,
682,"Edmonton, AB [YEG]",Richmond Vancouver Airport (YVR),QF 3436,15:20,
683,"Edmonton, AB [YEG]",Richmond Vancouver Airport (YVR),KL 9563,15:20,
684,"Whitehorse, Yukon [YXY]",Richmond Vancouver Airport (YVR),4N 553,14:45,
685,Nashville [BNA],Toronto Pearson Airport (YYZ),AS P574,11:45,15:21
686,Newark [EWR],Toronto Pearson Airport (YYZ),QK 879,14:18,15:23
687,Toronto [YYZ],Richmond Vancouver Airport (YVR),WS 717,15:00,16:38
688,Montreal [YUL],Toronto Pearson Airport (YYZ),AV 6919,14:00,15:18
689,Montreal [YUL],Toronto Pearson Airport (YYZ),EI 8507,14:00,15:18
690,Montreal [YUL],Toronto Pearson Airport (YYZ),LH 6570,14:00,15:18
691,Montreal [YUL],Toronto Pearson Airport (YYZ),OS 8395,14:00,15:18
692,Montreal [YUL],Toronto Pearson Airport (YYZ),SK 3893,14:00,15:18
693,Montreal [YUL],Toronto Pearson Airport (YYZ),SN 9641,14:00,15:18
694,Frankfurt [FRA],Toronto Pearson Airport (YYZ),3S 426,13:45,15:24
695,West Palm Beach [PBI],Toronto Pearson Airport (YYZ),AS P567,12:15,15:29
696,Penticton [YYF],Richmond Vancouver Airport (YVR),8P 1306,16:25,
697,Newark [EWR],Toronto Pearson Airport (YYZ),SK 3861,14:00,
698,Newark [EWR],Toronto Pearson Airport (YYZ),UA 8436,14:00,
699,"Sydney, NS [YQY]",Toronto Pearson Airport (YYZ),RV 1999,16:38,15:36
700,Cranbrook [YXC],Richmond Vancouver Airport (YVR),QK 299,16:50,17:31
701,London [LGW],Toronto Pearson Airport (YYZ),PD 7123,12:40,15:05
702,Teterboro [TEB],Toronto Pearson Airport (YYZ),HR T142,14:30,15:43
703,Paris [CDG],Toronto Pearson Airport (YYZ),AF 356,14:29,15:40
704,Paris [CDG],Toronto Pearson Airport (YYZ),DL 8616,14:29,15:40
705,Paris [CDG],Toronto Pearson Airport (YYZ),KL 2303,14:29,15:40
706,Paris [CDG],Toronto Pearson Airport (YYZ),ME 4356,14:29,15:40
707,Paris [CDG],Toronto Pearson Airport (YYZ),VS 6793,14:29,15:40
708,Winnipeg [YWG],Toronto Pearson Airport (YYZ),AC 262,12:25,15:44
709,Winnipeg [YWG],Toronto Pearson Airport (YYZ),AV 6941,12:25,15:44
710,Winnipeg [YWG],Toronto Pearson Airport (YYZ),LH 6737,12:25,15:44
711,Winnipeg [YWG],Toronto Pearson Airport (YYZ),OS 8313,12:25,15:44
712,Winnipeg [YWG],Toronto Pearson Airport (YYZ),UA 8600,12:25,15:44
713,Dublin [DUB],Toronto Pearson Airport (YYZ),TS 231,14:37,17:20
714,Fort St John [YXJ],Richmond Vancouver Airport (YVR),AC 8370,16:25,
715,New York [JFK],Toronto Pearson Airport (YYZ),AF 3530,14:15,15:32
716,New York [JFK],Toronto Pearson Airport (YYZ),KE 7382,14:15,15:32
717,New York [JFK],Toronto Pearson Airport (YYZ),VS 2921,14:15,15:32
718,New York [JFK],Toronto Pearson Airport (YYZ),WS 6310,14:15,15:32
719,Richmond [YVR],Toronto Pearson Airport (YYZ),AC 104,8:30,15:34
720,New York [LGA],Toronto Pearson Airport (YYZ),AC 8991,14:30,
721,New York [LGA],Toronto Pearson Airport (YYZ),QK 991,14:20,15:52
722,Richmond [YVR],Toronto Pearson Airport (YYZ),AV 6911,8:30,15:34
723,Richmond [YVR],Toronto Pearson Airport (YYZ),EI 8546,8:30,15:34
724,Richmond [YVR],Toronto Pearson Airport (YYZ),SK 3807,8:30,15:34
725,Richmond [YVR],Toronto Pearson Airport (YYZ),VA 5208,8:30,15:34
726,New York [LGA],Toronto Pearson Airport (YYZ),UA 8449,14:20,
727,Boston [BOS],Toronto Pearson Airport (YYZ),HR T52,14:00,15:54
728,London [LHR],Toronto Pearson Airport (YYZ),AA 6918,13:15,15:47
729,London [LHR],Toronto Pearson Airport (YYZ),AY 5993,13:15,15:47
730,London [LHR],Toronto Pearson Airport (YYZ),BA 93,13:15,15:47
731,London [LHR],Toronto Pearson Airport (YYZ),EI 8793,13:15,15:47
732,London [LHR],Toronto Pearson Airport (YYZ),IB 7337,13:15,15:47
733,London [LHR],Toronto Pearson Airport (YYZ),QR 5883,13:15,15:47
734,Dublin [DUB],Toronto Pearson Airport (YYZ),BA 6157,13:47,15:33
735,Dublin [DUB],Toronto Pearson Airport (YYZ),EI 127,13:47,15:33
736,Ottawa [YOW],Toronto Pearson Airport (YYZ),PD 188,15:42,
737,Winnipeg [YWG],Toronto Pearson Airport (YYZ),PD 424,12:30,15:41
738,Lansing [LAN],Toronto Pearson Airport (YYZ),GA J507,15:02,15:55
739,Seattle [SEA],Richmond Vancouver Airport (YVR),AS 3376,18:00,
740,Winnipeg [YWG],Toronto Pearson Airport (YYZ),TS 7994,12:30,15:41
741,Gander [YQX],Toronto Pearson Airport (YYZ),AC 8411,15:20,
742,Gander [YQX],Toronto Pearson Airport (YYZ),QK 411,14:25,16:01
743,34 Min,Toronto Pearson Airport (YYZ),Delay,244,16:02
744,Manchester [MAN],Toronto Pearson Airport (YYZ),TS 207,13:53,15:53
745,Tokyo [NRT],Toronto Pearson Airport (YYZ),AC 10,19:26,17:56
746,1:51,Toronto Pearson Airport (YYZ),Delay,6812,17:56
747,1:51,Toronto Pearson Airport (YYZ),Delay,AC10,15:53
748,"Halifax, NS [YHZ]",Toronto Pearson Airport (YYZ),QK 7124,17:24,16:05
749,2:12,Toronto Pearson Airport (YYZ),Delay,457,16:32
750,24 Min,Toronto Pearson Airport (YYZ),Delay,6673,16:32
751,24 Min,Toronto Pearson Airport (YYZ),Delay,AC457,16:32
752,24 Min,Toronto Pearson Airport (YYZ),Delay,AC457,16:32
753,24 Min,Toronto Pearson Airport (YYZ),Delay,AC457,16:06
754,Fort Lauderdale [FLL],Toronto Pearson Airport (YYZ),AF 5130,13:00,16:06
755,Fort Lauderdale [FLL],Toronto Pearson Airport (YYZ),DL 7181,13:00,16:06
756,Zurich [ZRH],Toronto Pearson Airport (YYZ),AC 881,14:12,15:56
757,Zurich [ZRH],Toronto Pearson Airport (YYZ),LH 6592,14:12,15:56
758,Zurich [ZRH],Toronto Pearson Airport (YYZ),LX 4640,14:12,15:56
759,Zurich [ZRH],Toronto Pearson Airport (YYZ),OS 8291,14:12,15:56
760,Zurich [ZRH],Toronto Pearson Airport (YYZ),OU 5920,14:12,15:56
761,Zurich [ZRH],Toronto Pearson Airport (YYZ),TG 5834,14:12,15:56
762,Zurich [ZRH],Toronto Pearson Airport (YYZ),UA 8521,14:12,15:56
763,Cancun [CUN],Toronto Pearson Airport (YYZ),TS 2327,11:18,15:43
764,Venice [VCE],Toronto Pearson Airport (YYZ),AC 817,12:40,15:46
765,Lisbon [LIS],Toronto Pearson Airport (YYZ),AC 811,13:24,15:26
766,Lisbon [LIS],Toronto Pearson Airport (YYZ),LH 6714,13:24,15:26
767,Lisbon [LIS],Toronto Pearson Airport (YYZ),UA 8038,13:24,15:26
768,Venice [VCE],Toronto Pearson Airport (YYZ),LH 6722,12:40,15:46
769,Venice [VCE],Toronto Pearson Airport (YYZ),LX 4629,12:40,15:46
770,Venice [VCE],Toronto Pearson Airport (YYZ),OS 8333,12:40,15:46
771,Venice [VCE],Toronto Pearson Airport (YYZ),SN 9569,12:40,15:46
772,Venice [VCE],Toronto Pearson Airport (YYZ),UA 8513,12:40,15:46
773,Chicago [ORD],Toronto Pearson Airport (YYZ),WS 9115,12:44,14:54
774,"Regina, Saskatchewan [YQR]",Toronto Pearson Airport (YYZ),WS 208,11:20,16:05
775,"Regina, Saskatchewan [YQR]",Toronto Pearson Airport (YYZ),AF 3023,11:20,16:05
776,"Regina, Saskatchewan [YQR]",Toronto Pearson Airport (YYZ),DL 6949,11:20,16:05
777,"Regina, Saskatchewan [YQR]",Toronto Pearson Airport (YYZ),KL 9717,11:20,16:05
778,"Regina, Saskatchewan [YQR]",Toronto Pearson Airport (YYZ),TS 7127,11:20,16:05
779,New York [LGA],Toronto Pearson Airport (YYZ),DL 5285,14:29,15:50
780,New York [LGA],Toronto Pearson Airport (YYZ),WS 6306,14:29,15:50
781,Houston [IAH],Toronto Pearson Airport (YYZ),AC 592,12:00,15:54
782,Houston [IAH],Toronto Pearson Airport (YYZ),UA 8353,12:00,15:54
783,Houston [IAH],Toronto Pearson Airport (YYZ),OS 8302,12:00,15:54
784,Frankfurt [FRA],Toronto Pearson Airport (YYZ),LH 470,15:28,17:14
785,54 Min,Toronto Pearson Airport (YYZ),Delay,9105,17:14
786,54 Min,Toronto Pearson Airport (YYZ),Delay,IsCodeshared,
787,Richmond [YVR],Toronto Pearson Airport (YYZ),LH 6509,9:00,
788,Richmond [YVR],Toronto Pearson Airport (YYZ),OS 8260,9:00,
789,Richmond [YVR],Toronto Pearson Airport (YYZ),VA 5204,9:00,
790,Fort Lauderdale [FLL],Toronto Pearson Airport (YYZ),AC 1623,13:15,16:11
791,St. Johns [YYT],Toronto Pearson Airport (YYZ),AC 693,14:15,16:14
792,St. Johns [YYT],Toronto Pearson Airport (YYZ),EY 3432,14:15,16:14
793,St. Johns [YYT],Toronto Pearson Airport (YYZ),LH 6683,14:15,16:14
794,Denver City [DEN],Toronto Pearson Airport (YYZ),AC 1040,11:05,15:51
795,Denver City [DEN],Toronto Pearson Airport (YYZ),OS 8310,11:05,15:51
796,Denver City [DEN],Toronto Pearson Airport (YYZ),TK 8687,11:05,15:51
797,Denver City [DEN],Toronto Pearson Airport (YYZ),UA 8426,11:05,15:51
798,Montreal [YUL],Toronto Pearson Airport (YYZ),AC 417,15:09,16:16
799,Montreal [YUL],Toronto Pearson Airport (YYZ),OS 8252,15:00,16:16
800,Porto [OPO],Toronto Pearson Airport (YYZ),TS 765,14:12,16:03
801,Porto [OPO],Toronto Pearson Airport (YYZ),PD 7765,14:12,16:03
802,Chicago [ORD],Toronto Pearson Airport (YYZ),UA 5363,13:45,16:26
803,Chicago [ORD],Toronto Pearson Airport (YYZ),AC 4899,13:45,16:26
804,Chicago [ORD],Toronto Pearson Airport (YYZ),CM 2818,13:45,16:26
805,Chicago [ORD],Toronto Pearson Airport (YYZ),NH 7806,13:45,16:26
806,Chicago [ORD],Toronto Pearson Airport (YYZ),NZ 9861,13:45,16:26
807,Washington DC [DCA],Toronto Pearson Airport (YYZ),AA 5667,14:54,16:01
808,San Francisco [SFO],Toronto Pearson Airport (YYZ),AC 738,8:58,
809,San Francisco [SFO],Toronto Pearson Airport (YYZ),NZ 4720,8:58,
810,San Francisco [SFO],Toronto Pearson Airport (YYZ),SQ 1001,8:58,
811,San Francisco [SFO],Toronto Pearson Airport (YYZ),UA 8115,8:58,
812,Detroit [DTW],Toronto Pearson Airport (YYZ),DL 9976,16:38,17:25
813,52 Min,Toronto Pearson Airport (YYZ),Delay,CGU,16:35
814,"Calgary, AB [YYC]",Toronto Pearson Airport (YYZ),AC 142,10:50,16:13
815,"Calgary, AB [YYC]",Toronto Pearson Airport (YYZ),AC 138,10:50,T1
816,"Calgary, AB [YYC]",Toronto Pearson Airport (YYZ),OS 8294,10:50,16:13
817,"Calgary, AB [YYC]",Toronto Pearson Airport (YYZ),LH 6690,10:50,16:13
818,"Halifax, NS [YHZ]",Toronto Pearson Airport (YYZ),AC 611,15:15,16:21
819,"Halifax, NS [YHZ]",Toronto Pearson Airport (YYZ),LH 6557,15:15,16:21
820,"Halifax, NS [YHZ]",Toronto Pearson Airport (YYZ),OS 8280,15:15,16:21
821,"Halifax, NS [YHZ]",Toronto Pearson Airport (YYZ),UA 8159,15:15,16:21
822,"Halifax, NS [YHZ]",Toronto Pearson Airport (YYZ),SN 9747,15:15,
823,Greater Sudbury [YSB],Toronto Pearson Airport (YYZ),QK 238,15:46,16:41
824,Atlanta [ATL],Toronto Pearson Airport (YYZ),DL 1286,15:08,16:46
825,4 Min,Toronto Pearson Airport (YYZ),Delay,6302,16:46
826,4 Min,Toronto Pearson Airport (YYZ),Delay,DL1286,16:46
827,4 Min,Toronto Pearson Airport (YYZ),Delay,DL1286,16:46
828,4 Min,Toronto Pearson Airport (YYZ),Delay,DL1286,16:43
829,Tokyo [HND],Toronto Pearson Airport (YYZ),AC 2,17:40,17:39
830,54 Min,Toronto Pearson Airport (YYZ),Delay,81,T1
831,Cancun [CUN],Toronto Pearson Airport (YYZ),AC 1811,11:52,16:08
832,Tel Aviv Yafo [TLV],Toronto Pearson Airport (YYZ),UA 8199,11:55,CANCELLED
833,Tokyo [HND],Toronto Pearson Airport (YYZ),NH 6820,17:40,17:39
834,54 Min,Toronto Pearson Airport (YYZ),Delay,IsCodeshared,16:45
835,Boston [BOS],Toronto Pearson Airport (YYZ),TK 8679,15:26,16:45
836,Boston [BOS],Toronto Pearson Airport (YYZ),UA 8539,15:26,16:45
837,Nashville [BNA],Toronto Pearson Airport (YYZ),AC 1012,13:50,16:28
838,Nashville [BNA],Toronto Pearson Airport (YYZ),LH 6521,13:50,16:28
839,Nashville [BNA],Toronto Pearson Airport (YYZ),TK 8667,13:50,16:28
840,Nashville [BNA],Toronto Pearson Airport (YYZ),UA 8018,13:50,16:28
841,Greater Sudbury [YSB],Toronto Pearson Airport (YYZ),AC 8238,15:46,
842,Greater Sudbury [YSB],Toronto Pearson Airport (YYZ),LX 4693,15:45,
843,"Calgary, AB [YYC]",Toronto Pearson Airport (YYZ),WS 660,11:00,16:33
844,"Calgary, AB [YYC]",Toronto Pearson Airport (YYZ),S4 7034,11:00,16:33
845,"Calgary, AB [YYC]",Toronto Pearson Airport (YYZ),DL 6991,11:00,16:33
846,"Calgary, AB [YYC]",Toronto Pearson Airport (YYZ),AF 6591,11:00,16:33
847,Montreal [YUL],Toronto Pearson Airport (YYZ),NO J61,16:00,16:57
848,Newark [EWR],Toronto Pearson Airport (YYZ),UA 3622,15:13,16:40
849,Newark [EWR],Toronto Pearson Airport (YYZ),AC 3491,15:13,16:40
850,Newark [EWR],Toronto Pearson Airport (YYZ),SK 9741,15:13,16:40
851,Raleigh-Durham [RDU],Toronto Pearson Airport (YYZ),AC 8839,15:22,
852,Winnipeg [YWG],Toronto Pearson Airport (YYZ),Y9 515,13:25,16:42
853,Raleigh-Durham [RDU],Toronto Pearson Airport (YYZ),QK 839,15:10,16:59
854,Raleigh-Durham [RDU],Toronto Pearson Airport (YYZ),LH 6575,15:10,
855,Raleigh-Durham [RDU],Toronto Pearson Airport (YYZ),TK 8671,15:10,
856,Raleigh-Durham [RDU],Toronto Pearson Airport (YYZ),TP 8061,15:10,
857,Raleigh-Durham [RDU],Toronto Pearson Airport (YYZ),UA 8283,15:10,
858,Frankfurt [FRA],Toronto Pearson Airport (YYZ),DE 2402,15:54,17:54
859,Rome [FCO],Toronto Pearson Airport (YYZ),TS 309,14:38,17:25
860,Rome [FCO],Toronto Pearson Airport (YYZ),WS 5312,14:38,17:25
861,Washington DC [IAD],Toronto Pearson Airport (YYZ),AC 8619,16:40,
862,Washington DC [IAD],Toronto Pearson Airport (YYZ),UA 8693,16:35,
863,Newark [EWR],Toronto Pearson Airport (YYZ),AC 8881,16:45,
864,Newark [EWR],Toronto Pearson Airport (YYZ),SK 3815,16:30,
865,Newark [EWR],Toronto Pearson Airport (YYZ),UA 8432,16:30,
866,"Halifax, NS [YHZ]",Toronto Pearson Airport (YYZ),AC 613,16:35,18:13
867,10 Min,Toronto Pearson Airport (YYZ),Delay,3430,18:13
868,10 Min,Toronto Pearson Airport (YYZ),Delay,AC613,18:13
869,10 Min,Toronto Pearson Airport (YYZ),Delay,AC613,17:28
870,Teterboro [TEB],Toronto Pearson Airport (YYZ),FE X202,17:00,18:04
871,New York [LGA],Toronto Pearson Airport (YYZ),WS 6339,16:15,17:28
872,London [YXU],Toronto Pearson Airport (YYZ),QK 262,17:52,18:09
873,17 Min,Toronto Pearson Airport (YYZ),Delay,1910,18:17
874,8 Min,Toronto Pearson Airport (YYZ),Delay,836,18:09
875,Ottawa [YOW],Toronto Pearson Airport (YYZ),AC 461,17:00,18:00
876,Montreal [YUL],Toronto Pearson Airport (YYZ),PD 124,17:08,18:04
877,Montreal [YUL],Toronto Pearson Airport (YYZ),TS 7724,16:50,18:04
878,Puerto Plata [POP],Toronto Pearson Airport (YYZ),AC 1821,14:00,17:45
879,London [YXU],Toronto Pearson Airport (YYZ),AC 8262,17:53,
880,Richmond [YVR],Toronto Pearson Airport (YYZ),PD 304,10:45,18:22
881,7 Min,Toronto Pearson Airport (YYZ),Delay,6799,
882,London [YXU],Toronto Pearson Airport (YYZ),LX 4864,17:30,
883,London [YXU],Toronto Pearson Airport (YYZ),UA 8650,17:30,
884,Richmond [YVR],Toronto Pearson Airport (YYZ),TS 7904,10:45,18:22
885,7 Min,Toronto Pearson Airport (YYZ),Delay,PD304,18:06
886,Dallas [DFW],Toronto Pearson Airport (YYZ),AS 6029,14:35,18:06
887,Chicago [ORD],Toronto Pearson Airport (YYZ),QK 910,15:57,18:16
888,Minneapolis [MSP],Toronto Pearson Airport (YYZ),DL 4849,15:15,17:58
889,Minneapolis [MSP],Toronto Pearson Airport (YYZ),AF 2652,15:15,17:58
890,Minneapolis [MSP],Toronto Pearson Airport (YYZ),KL 6704,15:15,17:58
891,Minneapolis [MSP],Toronto Pearson Airport (YYZ),VS 3534,15:15,17:58
892,Minneapolis [MSP],Toronto Pearson Airport (YYZ),WS 6321,15:15,17:58
893,Richmond [YVR],Toronto Pearson Airport (YYZ),AC 186,11:00,
894,Richmond [YVR],Toronto Pearson Airport (YYZ),AC 188,11:00,18:10
895,Richmond [YVR],Toronto Pearson Airport (YYZ),LH 6679,11:00,18:10
896,Richmond [YVR],Toronto Pearson Airport (YYZ),LX 4677,11:00,18:10
897,Richmond [YVR],Toronto Pearson Airport (YYZ),OS 8303,11:00,18:10
898,Richmond [YVR],Toronto Pearson Airport (YYZ),TK 9137,11:00,18:10
899,Thunder Bay [YQT],Toronto Pearson Airport (YYZ),QK 310,16:52,18:23
900,Thunder Bay [YQT],Toronto Pearson Airport (YYZ),AC 8310,16:52,
901,Thunder Bay [YQT],Toronto Pearson Airport (YYZ),LH 6617,16:45,
902,Thunder Bay [YQT],Toronto Pearson Airport (YYZ),UA 8134,16:45,
903,Montreal [YUL],Toronto Pearson Airport (YYZ),AC 421,16:53,18:08
904,Montreal [YUL],Toronto Pearson Airport (YYZ),EY 3470,17:17,18:08
905,Montreal [YUL],Toronto Pearson Airport (YYZ),LX 4664,17:17,18:08
906,Teterboro [TEB],Toronto Pearson Airport (YYZ),N7 91QS,17:00,18:24
907,Teterboro [TEB],Toronto Pearson Airport (YYZ),N8 36QS,17:00,
908,Higuey [PUJ],Toronto Pearson Airport (YYZ),AC 1795,13:50,18:12
909,Chicago [ORD],Toronto Pearson Airport (YYZ),AC 8910,15:58,
910,Chicago [ORD],Toronto Pearson Airport (YYZ),UA 8308,15:50,
911,Los Angeles [LAX],Toronto Pearson Airport (YYZ),Y9 737,11:40,19:06
912,35 Min,Toronto Pearson Airport (YYZ),Delay,719,18:15
913,New York [LGA],Toronto Pearson Airport (YYZ),UA 8233,17:14,18:15
914,"Halifax, NS [YHZ]",Toronto Pearson Airport (YYZ),PD 210,17:10,18:30
915,Richmond [YVR],Toronto Pearson Airport (YYZ),WS 710,11:00,18:35
916,"Halifax, NS [YHZ]",Toronto Pearson Airport (YYZ),TS 7920,17:10,18:30
917,Richmond [YVR],Toronto Pearson Airport (YYZ),DL 7000,11:00,18:35
918,Richmond [YVR],Toronto Pearson Airport (YYZ),QF 3374,11:00,18:35
919,Richmond [YVR],Toronto Pearson Airport (YYZ),S4 7030,11:00,18:35
920,West Palm Beach [PBI],Toronto Pearson Airport (YYZ),AS P844,15:40,18:36
921,1 Min,Toronto Pearson Airport (YYZ),Delay,369,
922,Ottawa [YOW],Toronto Pearson Airport (YYZ),AF 3010,17:30,
923,Ottawa [YOW],Toronto Pearson Airport (YYZ),CX 7081,17:30,
924,Ottawa [YOW],Toronto Pearson Airport (YYZ),KE 6542,17:30,
925,Ottawa [YOW],Toronto Pearson Airport (YYZ),KL 9591,17:30,
926,Ottawa [YOW],Toronto Pearson Airport (YYZ),S4 7000,17:30,
927,Ottawa [YOW],Toronto Pearson Airport (YYZ),TS 7145,17:30,
928,New York [LGA],Toronto Pearson Airport (YYZ),AA 4344,17:05,18:10
929,New York [LGA],Toronto Pearson Airport (YYZ),B6 4592,16:57,18:10
930,New York [LGA],Toronto Pearson Airport (YYZ),BA 4838,16:57,18:10
931,Munich [MUC],Toronto Pearson Airport (YYZ),LH 494,17:25,19:32
932,52 Min,Toronto Pearson Airport (YYZ),Delay,9603,19:31
933,51 Min,Toronto Pearson Airport (YYZ),Delay,LH494,18:51
934,11 Min,Toronto Pearson Airport (YYZ),Delay,593,18:53
935,9 Min,Toronto Pearson Airport (YYZ),Delay,3533,18:44
936,Montreal [YUL],Toronto Pearson Airport (YYZ),AF 3743,18:00,18:53
937,9 Min,Toronto Pearson Airport (YYZ),Delay,WS593,18:53
938,9 Min,Toronto Pearson Airport (YYZ),Delay,WS593,18:53
939,9 Min,Toronto Pearson Airport (YYZ),Delay,WS593,18:53
940,9 Min,Toronto Pearson Airport (YYZ),Delay,WS593,18:53
941,9 Min,Toronto Pearson Airport (YYZ),Delay,WS593,18:53
942,9 Min,Toronto Pearson Airport (YYZ),Delay,WS593,18:53
943,9 Min,Toronto Pearson Airport (YYZ),Delay,WS593,19:39
944,54 Min,Toronto Pearson Airport (YYZ),Delay,7946,19:39
945,54 Min,Toronto Pearson Airport (YYZ),Delay,PD406,21:42
946,2:55,Toronto Pearson Airport (YYZ),Delay,17,18:33
947,London [LHR],Toronto Pearson Airport (YYZ),A3 3055,15:55,18:21
948,London [LHR],Toronto Pearson Airport (YYZ),AC 857,15:55,18:21
949,London [LHR],Toronto Pearson Airport (YYZ),LH 6584,15:55,18:21
950,London [LHR],Toronto Pearson Airport (YYZ),ME 4521,15:55,18:21
951,London [LHR],Toronto Pearson Airport (YYZ),MS 9604,15:55,18:21
952,London [LHR],Toronto Pearson Airport (YYZ),OS 8225,15:55,18:21
953,London [LHR],Toronto Pearson Airport (YYZ),SQ 1010,15:55,18:21
954,London [LHR],Toronto Pearson Airport (YYZ),UA 8219,15:55,18:21
955,London [LHR],Toronto Pearson Airport (YYZ),UL 2857,15:55,18:21
956,Istanbul [IST],Toronto Pearson Airport (YYZ),AC 6679,15:05,18:33
957,Istanbul [IST],Toronto Pearson Airport (YYZ),SQ 6307,15:05,18:33
958,Istanbul [IST],Toronto Pearson Airport (YYZ),JU 8276,15:05,18:33
959,"Calgary, AB [YYC]",Toronto Pearson Airport (YYZ),WS 664,13:00,18:42
960,"Calgary, AB [YYC]",Toronto Pearson Airport (YYZ),DL 7025,13:00,18:42
961,Santiago [SCL],Toronto Pearson Airport (YYZ),AC 93,10:18,19:52
962,57 Min,Toronto Pearson Airport (YYZ),Delay,6169,
963,Washington DC [IAD],Toronto Pearson Airport (YYZ),AC 3934,17:41,
964,Washington DC [IAD],Toronto Pearson Airport (YYZ),AV 2166,17:41,
965,Washington DC [IAD],Toronto Pearson Airport (YYZ),CM 2804,17:41,
966,Miami [MIA],Toronto Pearson Airport (YYZ),AA 9603,16:48,19:38
967,43 Min,Toronto Pearson Airport (YYZ),Delay,1720,19:40
