,Origen,Destino,Numero de Vuelo,Salida,Llegada
554,Richmond [YVR],Toronto Pearson Airport (YYZ),PD 302,7:45,
555,Richmond [YVR],Toronto Pearson Airport (YYZ),TS 7902,7:45,
556,St. Johns [YYT],Toronto Pearson Airport (YYZ),DL 512,13:00,15:19
557,St. Johns [YYT],Toronto Pearson Airport (YYZ),Y9 512,13:00,
558,Paris [CDG],Toronto Pearson Airport (YYZ),AC 873,15:40,16:37
559,1:17,Toronto Pearson Airport (YYZ),Delay,2427,15:11
560,Paris [CDG],Toronto Pearson Airport (YYZ),ET 1143,15:40,16:37
561,1:17,Toronto Pearson Airport (YYZ),Delay,AC873,16:37
562,1:17,Toronto Pearson Airport (YYZ),Delay,AC873,16:37
563,1:17,Toronto Pearson Airport (YYZ),Delay,AC873,16:37
564,1:17,Toronto Pearson Airport (YYZ),Delay,AC873,16:37
565,1:17,Toronto Pearson Airport (YYZ),Delay,AC873,16:37
566,1:17,Toronto Pearson Airport (YYZ),Delay,AC873,15:20
567,Nashville [BNA],Toronto Pearson Airport (YYZ),AS P574,11:45,15:21
568,Newark [EWR],Toronto Pearson Airport (YYZ),QK 879,14:18,15:23
569,2 Min,Toronto Pearson Airport (YYZ),Delay,415,15:18
570,Montreal [YUL],Toronto Pearson Airport (YYZ),AV 6919,14:00,15:18
571,Montreal [YUL],Toronto Pearson Airport (YYZ),EI 8507,14:00,15:18
572,Montreal [YUL],Toronto Pearson Airport (YYZ),LH 6570,14:00,15:18
573,Montreal [YUL],Toronto Pearson Airport (YYZ),OS 8395,14:00,15:18
574,Montreal [YUL],Toronto Pearson Airport (YYZ),SK 3893,14:00,15:18
575,Montreal [YUL],Toronto Pearson Airport (YYZ),SN 9641,14:00,15:18
576,Frankfurt [FRA],Toronto Pearson Airport (YYZ),3S 426,13:45,15:24
577,West Palm Beach [PBI],Toronto Pearson Airport (YYZ),AS P567,12:15,15:29
578,2 Min,Toronto Pearson Airport (YYZ),Delay,8879,
579,Newark [EWR],Toronto Pearson Airport (YYZ),SK 3861,14:00,
