,IATA,IACO,Aerolinea,Llamada de Identificación,País
718,UD,HER,Hex'Air,HEX AIRLINE,France
719,5K,HFY,Hi Fly,SKY FLYER,Portugal
721,VM,VMS,His Majesty King Maha Vajiralongkorn,VICTOR MIKE[32],Thailand
722,H5,HOA,Hola Airlines,HOLA,Spain
724,HX,CRK,Hong Kong Airlines,BAUHINIA,Hong Kong
725,RH,HKC,Hong Kong Air Cargo,MASCOT,Hong Kong
726,UO,HKE,Hong Kong Express Airways,HONGKONG SHUTTLE,Hong Kong
728,QX,QXE,Horizon Air,HORIZON AIR,United States
732,I4,EXP,Island Air Express,ISLAND EXPRESS,United States
733,IK,KAR,Ikar,IKAR,Russian Federation
734,IB,IBE,Iberia Airlines,IBERIA,Spain
735,II,CSQ,IBC Airways,CHASQUI,United States
736,I2,IBS,Iberia Express,IBEREXPRESS,Spain
738,FW,IBX,Ibex Airlines,IBEX,Japan
739,0C,IBL,IBL Aviation,CATOVAIR,Mauritius
740,C3,IPR,Independent Carrier (ICAR),ICAR,Ukraine
741,FI,ICE,Icelandair,ICEAIR,Iceland
744,I7,IOA,IndiaOne Air,INDIA FIRST,India
746,IC,IAC,Indian Airlines,INDAIR,India
747,I9,IBU,Indigo Airlines,INDIGO BLUE,United States
748,VP,AXC,Indochina Airlines,AIRSPUP,Vietnam
749,QZ,AWQ,Indonesia AirAsia,WAGON AIR,Indonesia
750,IO,IAA,Indonesian Airlines,INDO LINES,Indonesia
751,C4,IMX,Zimex Aviation,ZIMEX,Switzerland
752,H4,IIN,Inter Island Airways,NO,Cape Verde
753,D6,ILN,Interair South Africa,INLINE,South Africa
760,6I,IBZ,International Business Air,INTERBIZ,Sweden
763,IR,IRA,Iran Air,IRANAIR,Iran
764,EP,IRC,Iran Aseman Airlines,ASEMAN,Iran
765,IA,IAW,Iraqi Airways,IRAQI,Iraq
766,IH,MZA,Irtysh Air,IRTYSH AIRLINES,Kazakhstan
767,2S,SDY,Island Express,SANDY ISLE,United States
768,IF,ISW,Islas Airways,PINTADERA,Spain
769,WC,ISV,Islena De Inversiones,NO,Honduras
773,GI,IKA,Itek Air,ITEK-AIR,Kyrgyzstan
775,JC,JEX,JAL Express,JANEX,Japan
776,JO,JAZ,JALways,JALWAYS,Japan
777,MT,JMC,JMC Airlines,JAYEMMSEE,United Kingdom
778,JI,JAE,Jade Cargo International,JADE CARGO,China
779,3X,JAC,Japan Air Commuter,COMMUTER,Japan
780,JL,JAL,Japan Airlines,JAPANAIR,Japan
783,NU,JTA,Japan Transocean Air,JAI OCEAN,Japan
788,O2,JEA,OLT Express,JETA,Poland
789,9W,JAI,Jet Airways,JET AIRWAYS,India
790,PP,PJS,Jet Aviation,JETAVIATION,Switzerland
791,3K,JSA,Jetstar Asia Airways,JETSTAR ASIA,Singapore
792,LS,EXS,Jet2.com,CHANNEX,United Kingdom
793,B6,JBU,JetBlue Airways,JETBLUE,United States
794,JF,JAA,Jet Asia Airways,JET ASIA,Thailand
795,0J,JCS,Jetclub,JETCLUB,Switzerland
796,SG,JGO,JetsGo,JETSGO,Canada
797,JQ,JST,Jetstar,JETSTAR,Australia
798,GK,JJP,Jetstar Japan,ORANGE LINER,Japan
800,JX,JEC,Jett8 Airlines Cargo,TAIPAN,Singapore
802,GX,JXX,JetX Airlines,JETBIRD,Iceland
803,LJ,JNA,Jin Air,JIN AIR,South Korea
804,R5,JAV,Jordan Aviation,JORDAN AVIATION,Jordan
806,XE,JSX,JSX (airline),BIGSTRIPE,United States
807,6J,JUB,Jubba Airways,JUBBA,Somalia
809,KW,KHK,Kharkiv Airlines,SUNRAY,Ukraine
812,WA,KLC,KLM Cityhopper,CITY,Netherlands
813,KL,KLM,KLM,KLM,Netherlands
816,K4,CKS,Kalitta Air,CONNIE,United States
817,K9,KFS,Kalitta Charters,KALITTA,United States
819,RQ,KMF,Kam Air,KAMGAR,Afghanistan
820,E2,KMP,Kampuchea Airlines,KAMPUCHEA,Cambodia
821,V2,AKT,Karat,AVIAKARAT,Russia
822,KV,MVD,Kavminvodyavia,AIR MINVODY,Russia
826,M5,KEN,Kenmore Air,KENMORE,United States
827,KQ,KQA,Kenya Airways,KENYA,Kenya
828,ZN,KEY,Key Airlines,KEY AIR,United States
829,KG,LYM,Key Lime Air,KEY LIME,United States
833,IT,KFR,Kingfisher Airlines,KINGFISHER,India
834,4I,KNX,Knighthawk Air Express,KNIGHT FLIGHT,Canada
835,Y9,IRK,Kish Air,KISHAIR,Iran
838,KP,KIA,Kiwi International Air Lines,KIWI AIR,United States
839,7K,KGL,Kogalymavia Air Company,KOGALYM,Russia
840,8J,KMV,Komiinteravia,KOMIINTER,Russia
841,KE,KAL,Korean Air,KOREANAIR,South Korea
845,VD,KPA,Kunpeng Airlines,KUNPENG,China
846,KU,KAC,Kuwait Airways,KUWAITI,Kuwait
847,GO,KZU,Kuzu Airlines Cargo,KUZU CARGO,Turkey
848,N5,KGZ,Kyrgyz Airlines,BERMET,Kyrgyzstan
850,R8,KGA,Kyrgyzstan Airlines,KYRGYZ,Kyrgyzstan
852,YL,LWA,Libyan Wings,LIBYAN WINGS,Libya
853,YQ,LCT,TAR Aerolineas,TAR,Mexico
855,LR,LRC,LACSA,LACSA,Costa Rica
857,4M,DSM,LATAM Argentina,LAN AR,Argentina
859,UC,LCO,LATAM Cargo Chile,LAN CARGO,Chile
860,LA,LAN,LATAM Chile,LAN CHILE,Chile
862,LU,LXP,LATAM Express,LANEX,Chile
863,PZ,LAP,LATAM Paraguay,PARAGUAYA,Paraguay
864,LP,LPE,LATAM Peru,LANPERU,Peru
865,LO,LOT,LOT Polish Airlines,POLLOT,Poland
868,LT,LTU,LTU International,LTU,Germany
869,N6,JEV,Lagun Air,NO,Spain
872,QV,LAO,Lao Airlines,LAO,Lao People's Democratic Republic
873,L7,LPN,Laoag International Airlines,LAOAG AIR,Philippines
874,NG,LDA,Lauda Air,LAUDA AIR,Austria
876,LQ,LAQ,Lebanese Air Transport,LAT,Lebanon
877,LI,LIA,Leeward Islands Air Transport,LIAT,Antigua and Barbuda
879,LN,LAA,Libyan Arab Airlines,LIBAIR,Libya
883,TM,LAM,Linhas Aéreas de Moçambique,MOZAMBIQUE,Mozambique
884,JT,LNI,Lion Air,LION INTER,Indonesia
885,LM,LVG,Livingston Energy Flight,LIVINGSTON,Italy
889,LH,DLH,Lufthansa,LUFTHANSA,Germany
891,CL,CLH,Lufthansa CityLine,HANSALINE,Germany
892,L5,LTR,Lufttransport,LUFT TRANSPORT,Norway
893,LG,LGL,Luxair,LUXAIR,Luxembourg
894,5V,UKW,Lviv Airlines,UKRAINE WEST,Ukraine
895,L2,LYC,Lynden Air Cargo,LYNDEN,United States
897,L4,SSX,Lynx Aviation,SHASTA,United States
898,Z8,AZN,Línea Aérea Amaszonas,NO,Bolivia
899,MJ,LPR,Líneas Aéreas Privadas Argentinas,LAPA,Argentina
901,Q2,DQA,Maldivian (airline),SKYSURFER,Maldives
904,OD,MXD,Malindo Airways,MALINDO EXPRESS,Malaysia
906,M7,MAA,MasAir,MAS CARGA,Mexico
907,MH,MWG,MASwings,MASWINGS,Malaysia
908,IN,MAK,MAT Macedonian Airlines,MAKAVIO,Macedonia
909,OM,MGL,MIAT Mongolian Airlines,MONGOL AIR,Mongolia
912,DM,DAN,Maersk Air,MAERSKAIR,Denmark
914,W5,IRM,Mahan Air,MAHAN AIR,Iran
915,M2,MZS,Mahfooz Aviation,MAHFOOZ,Gambia
918,TF,SCW,Malmö Aviation,SCANWING,Sweden
920,MA,MAH,Malév Hungarian Airlines,MALEV,Hungary
921,RI,MDL,Mandala Airlines,MANDALA,Indonesia
923,JE,MNO,Mango,TULCA,South Africa
926,MP,MPH,Martinair,MARTINAIR,Netherlands
928,8M,MXL,Maxair,MAXAIR,Sweden
929,MY,MXJ,Maxjet Airways,MAX-JET,United States
930,MW,MYD,Maya Island Air,MYLAND,Belize
931,7M,MYI,Mayair,MAYAIR,Mexico
932,M8,MKN,Mekong Airlines,MEKONG AIRLINES,Cambodia
933,IM,MNJ,Menajet,MENAJET,Lebanon
935,MZ,MNA,Merpati Nusantara Airlines,MERPATI,Indonesia
936,YV,ASH,Mesa Airlines,AIR SHUTTLE,United States
937,XJ,MES,Mesaba Airlines,MESABA,United States
941,ME,MEA,Middle East Airlines,CEDAR JET,Lebanon
944,YX,MEP,Midwest Airlines,MIDEX,United States
947,M4,MSA,Mistral Air,AIRMERCI,Italy
949,2M,MDV,Moldavian Airlines,MOLDAVIAN,Moldova
951,YM,MGX,Montenegro Airlines,MONTENEGRO,Montenegro
952,5M,MNT,Montserrat Airways,MONTSERRAT,Montserrat
953,3R,GAI,Moskovia Airlines,GROMOV AIRLINE,Russia
954,M9,MSI,Motor Sich Airlines,MOTOR SICH,Ukraine
956,N4,MTC,Mountain Air Company,MOUNTAIN LEONE,Sierra Leone
957,Z9,MYM,MYAirline,MYAIR,Malaysia
958,VZ,MYT,MyTravel Airways,KESTREL,United Kingdom
959,UB,UBA,Myanma Airways,UNIONAIR,Myanmar
962,ZT,AWC,Titan Airways,ZAP,United Kingdom
963,6N,NIN,Niger Airlines,NIGER AIRLINES,Niger
965,DV,ACK,Nantucket Airlines,ACK AIR,United States
966,UE,NAS,Nasair,NASAIRWAYS,Eritrea
968,N7,ROK,National Airlines,RED ROCK,United States
973,NC,NJS,National Jet Systems,NATIONAL JET,Australia
974,CE,NTW,Nationwide Airlines,NATIONWIDE,South Africa
975,RA,RNA,Nepal Airlines,ROYAL NEPAL,Nepal
978,EJ,NEA,New England Airlines,NEW ENGLAND,United States
979,2N,NTJ,NextJet,NEXTJET,Sweden
980,HG,NLY,Niki,FLYNIKI,Austria
981,KZ,NCA,Nippon Cargo Airlines,NIPPON CARGO,Japan
983,XW,NCT,NokScoot,BIG BIRD,Thailand
984,5N,AUL,Nordavia,ARCHANGELSK AIR,Russia
987,Y7,TYA,NordStar,TAIMYR,Russia
989,N0,NBT,Norse Atlantic Airways,LONGSHIP,Norway
995,7H,RVF,Northern Pacific Airways,—Raven Flight,United States
996,NW,NWA,Northwest Airlines,NORTHWEST,United States
998,J3,PLR,Northwestern Air,POLARIS,Canada
1000,DY,NOZ,Norwegian Air Shuttle,NORDIC,Norway
1002,DN,NAA,Norwegian Air Argentina,NORUEGA,Argentina
1003,DU,NLH,Norwegian Long Haul,NORSTAR,Norway
1005,D8,NSZ,Norwegian Air Sweden,REDNOSE,Sweden
1007,O9,NOV,Nova Airline,NOVANILE,Sudan
1009,VQ,NVQ,Novo Air,NOVO AIR,Bangladesh
1013,UQ,OCM,O'Connor Airlines,OCONNOR,Australia
1015,O8,OHK,Oasis Hong Kong Airlines,OASIS,Hong Kong
1016,VC,VCX,Ocean Airlines,OCEANCARGO,Italy
1018,OL,OLT,OLT Express Germany,OLTRA,Germany
1019,OA,OAL,Olympic Air,OLYMPIC,Greece
1020,WY,OMA,Oman Air,OMAN AIR,Oman
1024,8Q,OHY,Onur Air,ONUR AIR,Turkey
1025,R2,ORB,Orenburg Airlines,ORENBURG,Russia
1026,OX,OEA,Orient Thai Airlines,ORIENT THAI,Thailand
1028,ON,RON,Our Airline,OUR AIRLINE,Nauru
1031,O7,OZJ,OzJet,AUSJET,Australia
1035,PV,PNR,PAN Air,SKYJET,Spain
1036,9Q,PBA,PB Air,PEEBEE AIR,Thailand
1037,PU,PUA,PLUNA,PLUNA,Uruguay
1041,BL,PIC,Pacific Airlines,PACIFIC AIRLINES,Vietnam
1043,8P,PCO,Pacific Coastal Airlines,PASCO,Canada
1044,Q8,PEC,Pacific East Asia Cargo Airlines,PAC-EAST CARGO,Philippines
1045,LW,NMI,Pacific Wings,TSUNAMI,United States
1046,PK,PIA,Pakistan International Airlines,PAKISTAN,Pakistan
1048,PF,PNW,Palestinian Airlines,PALESTINIAN,Egypt
1049,NR,PIR,Pamir Airways,PAMIR,Afghanistan
1059,KS,PEN,Peninsula Airways,PENINSULA,United States
1060,P9,PGP,Perm Airlines,PERM AIR,Russia
1062,Z2,EZD,Philippines AirAsia,REDHOT,Philippines
1064,9R,VAP,Phuket Air,PHUKET AIR,Thailand
1065,PI,PAI,Piedmont Airlines (1948-1989),PIEDMONT,United States
1067,OG,FPY,Play,PLAYER,Iceland
1068,PO,PAC,Polar Air Cargo,POLAR,United States
1069,PH,PAO,Polynesian Airlines,POLYNESIAN,Samoa
1071,PD,POE,Porter Airlines,PORTER,Canada
1072,NI,PGA,Portugalia,PORTUGALIA,Portugal
1074,BK,PDC,Potomac Air,DISTRICT,United States
1075,PW,PRF,Precision Air,PRECISION AIR,Tanzania
1076,TO,PSD,President Airlines,NO,Cambodia
1080,P6,PVG,Privilege Style Líneas Aéreas,PRIVILEGE,Spain
1081,P0,PFZ,Proflight Zambia,PROFLIGHT-ZAMBIA,Zambia
1082,PB,SPR,Provincial Airlines,SPEEDAIR,Canada
1083,FV,PLK,Pulkovo Aviation Enterprise,PULKOVO,Russia
1087,QR,QTR,Qatar Airways,QATARI,Qatar
1090,V4,REK,Reem Air,REEM AIR,Kyrgyzstan
1092,YS,RAE,Régional,REGIONAL EUROPE,France
1093,FN,RGL,Regional Air Lines,MAROC REGIONAL,Morocco
1094,ZL,RXA,Regional Express,REX,Australia
1095,P7,REP,Regional Paraguaya,REGIOPAR,Paraguay
1099,RW,RPA,Republic Airways,BRICKYARD,United States
1104,SL,RSL,Rio Sul Serviços Aéreos Regionais,RIO SUL,Brazil
1107,GZ,RAR,Air Rarotonga,AIR RAROTONGA,Cook Islands
1108,RR,RFR,Royal Air Force,RAFAIR,United Kingdom
1110,AT,RAM,Royal Air Maroc,ROYALAIR MAROC,Morocco
1111,R0,RPK,Royal Airlines,ROYAL PAKISTAN,Pakistan
1113,BI,RBA,Royal Brunei Airlines,BRUNEI,Brunei
1114,RJ,RJA,Royal Jordanian,JORDANIAN,Jordan
1115,RK,RCT,Skyview Airways,GREENSKY,THAILAND
1119,WR,HRH,Royal Tongan Airlines,TONGA ROYAL,Tonga
1121,WB,RWD,Rwandair Express,RWANDAIR,Rwanda
1123,RD,RYN,Ryan International Airlines,RYAN INTERNATIONAL,United States
1124,FR,RYR,Ryanair,RYANAIR,Ireland
1126,RT,BUG,UVT Aero,NO,Russia
1128,TR,TGW,Scoot,SCOOTER,Singapore
1130,6Y,ART,Smartlynx Airlines,SMART LYNX,Latvia
1133,3Z,TVP,Smartwings Poland,JETTRAVEL,Poland
1134,6D,TVQ,Smartwings Slovakia,SLOVAKTRAVEL,Slovakia
1139,N9,SHA,Shree Airlines,SHREEAIR,Nepal
1140,7E,AWU,Sylt Air GmbH,SYLT-AIR,Germany
1142,S4,RZO,SATA International,AIR AZORES,Portugal
1143,SA,SAA,South African Airways,SPRINGBOK,South Africa
1145,W7,SAH,Sayakhat Airlines,SAYAKHAT,Kazakhstan
1146,NL,SAI,Shaheen Air,SHAHEEN AIR,Pakistan
1148,SK,SAS,Scandinavian Airlines,SCANDINAVIAN,"Sweden, Denmark and Norway"
1150,UG,SEN,Tunisair Express,TUNEXPRESS,Tunisia
1151,S7,SBI,S7 Airlines,SIBERIAN AIRLINES,Russia
1152,Q7,SBM,SkyBahamas,SKY BAHAMAS,Bahamas
1153,BB,SBS,Seaborne Airlines,SEABORNE,United States
1155,S5,SDG,Star Air (India),HISTAR,India
1157,K5,SQH,SeaPort Airlines,SASQUATCH,United States
1160,SY,SCX,Sun Country Airlines,SUN COUNTRY,United States
1162,I6,SEQ,Sky Eyes,SKY EYES,Thailand
1164,7G,SFJ,Star Flyer,STARFLYER,Japan
1165,FA,SFR,Safair,CARGO,South Africa
1167,HZ,SHU,Sakhalinskie Aviatrassy(SAT),SATAIR,Russia
1168,SP,SAT,SATA Air Acores,SATA,Portugal
1169,ZY,SHY,Sky Airlines,ANTALYA BIRD,Turkey
1170,SQ,SIA,Singapore Airlines,SINGAPORE,Singapore
1173,3M,SIL,Silver Airways,SILVER WINGS,United States
1174,XS,SIT,SITA,NO,Belgium
1180,D2,SSF,Severstal Air Company,SEVERSTAL,Russia
1183,5G,SSV,Skyservice Airlines,SKYTOUR,Canada
1186,SD,SUD,Sudan Airways,SUDANAIR,Sudan
1190,SV,SVA,Saudia,SAUDIA,Saudi Arabia
1191,WN,SWA,Southwest Airlines,SOUTHWEST,United States
1192,A4,SWD,Southern Winds Airlines,SOUTHERN WINDS,Argentina
1193,WG,SWG,Sunwing Airlines,SUNWING,Canada
1194,WQ,SWQ,Swift Air(Interstate Equipment Leasing),SWIFTFLIGHT,United States
1195,LX,SWR,Swiss International Air Lines,SWISS,Switzerland
1196,SR,SWR,Swissair,SWISSAIR,Switzerland
1199,WV,SWV,Swe Fly,FLYING SWEDE,Sweden
1201,Q4,SWX,Swazi Express Airways,SWAZI EXPRESS,Eswatini
1202,WO,WSW,Swoop,SWOOP,Canada
1204,XQ,SXS,SunExpress,SUNEXPRESS,Turkey
1206,AL,SYX,Skywalk Airlines,SKYWAY-EX,United States
1208,7L,AZG,Silk Way West Airlines,SILK WEST,Azerbaijan
1209,E5,BRZ,Samara Airlines,BERYOZA,Russia
1211,SC,CDG,Shandong Airlines,SHANDONG,China
1213,9C,CQH,Spring Airlines,AIR SPRING,China
1214,3U,CSC,Sichuan Airlines,SI CHUAN,China
1215,FM,CSH,Shanghai Airlines,SHANGHAI AIR,China
1216,ZH,CSZ,Shenzhen Airlines,SHENZHEN AIR,China
1219,NE,ESK,SkyEurope,RELAX,Slovakia
1221,SO,HKA,Superior Aviation,SPEND AIR,United States
1224,JK,JKK,Spanair,SPANAIR,Spain
1227,1Z,APD,Sabre Pacific,NO,Australia
1228,NK,NKS,Spirit Airlines,SPIRIT WINGS,United States
1229,S0,OKS,Slok Air Gambia,SLOK GAMBIA,Gambia
1231,VA,OZW,Virgin Australia Regional Airlines,VELOCITY,Australia
1235,S3,BBR,Santa Barbara Airlines,SANTA BARBARA,Venezuela
1237,H2,SKU,Sky Airline,AEROSKY,Chile
1238,OO,SKW,SkyWest Airlines,SKYWEST,United States
1239,JZ,SKX,Skyways Express,SKY EXPRESS,Sweden
1240,BC,SKY,Skymark Airlines,SKYMARK,Japan
1242,MI,SLK,SilkAir,SILKAIR,Singapore
1243,6Q,SLL,Slovak Airlines,SLOV LINE,Slovakia
1244,PY,SLM,Surinam Airways,SURINAM,Suriname
1245,NB,SNB,Sterling Airlines,STERLING,Denmark
1247,IE,SOL,Solomon Airlines,SOLOMON,Solomon Islands
1248,9X,SOU,Southern Airways,SOUTHERN EXPRESS,United States
1249,6W,SOV,Saratov Airlines Joint Stock Company,SARATOV AIR,Russia
1253,O3,CSS,SF Airlines,SHUN FENG,China
1254,PQ,SQP,SkyUp,SKYUP,Ukraine
1257,P2,LLI,Small Planet Airlines,AURIGA,Italy
1258,5P,LLX,Small Planet Airlines,GERMANJET,Germany
1259,UL,ALK,SriLankan Airlines,SRILANKAN,Sri Lanka
1267,DG,SRQ,Cebgo,BLUE JAY,Philippines
1269,1L,OSY,Open Skies Consultative Commission,OPEN SKIES,United States
1271,DT,DTA,TAAG Angola Airlines,DTA,Angola
1272,VR,TCV,TACV,CABOVERDE,Cape Verde
1273,TI,TWI,Tailwind Airlines,TAILWIND,Turkey
1275,EQ,TAE,TAME,TAME,Ecuador
1276,QT,TPA,TAMPA,TAMPA,Colombia
1277,TQ,TDM,Tandem  Aero,TANDEM,Moldova
1278,TP,TAP,TAP  Portugal,AIR PORTUGAL,Portugal
1279,K3,TQN,Taquan Air Services,TAQUAN,United States
1280,RO,ROT,Tarom,TAROM,Romania
1282,SF,DTH,Tassili  Airlines,TASSILI AIR,Algeria
1283,T6,TVR,Tavrey  Airlines,TAVREY,Ukraine
1287,T2,TCG,Thai  Air Cargo,THAI CARGO,Thailand
1288,FD,AIQ,Thai  AirAsia,THAI ASIA,Thailand
1290,TG,THA,Thai Airways International,THAI,Thailand
1294,T9,TSX,Thai Star Airlines,THAI STAR,Thailand
1299,3P,TNM,Tiara Air,TIARA,Aruba
1304,3V,TAY,TNT  Airways,QUALITY,Belgium
1307,TJ,GPD,Tradewind Aviation,GOODSPEED,United States
1310,TW,TWA,Trans World Airlines,TWA,United States
1311,UN,TSO,Transaero Airlines,TRANSOVIET,Russia
1312,GE,TNA,TransAsia Airways,NO,Taiwan
1314,HV,TRA,Transavia Holland,TRANSAVIA,Netherlands
1324,GY,TMG,Tri-MG Intra Asia Airlines,TRILINES,Indonesia
1325,T4,TIB,TRIP Linhas Aéreas,TRIP,Brazil
1326,PM,TOS,Tropic Air,TROPISER,Belize
1328,BY,TOM,TUI  Airways,TOM JET,United Kingdom
1329,TB,JAF,TUI  fly Belgium,BEAUTY,Belgium
1331,OR,TFL,TUI fly Netherlands,ORANGE,Netherlands
1332,6B,BLX,TUI  fly Nordic,BLUESCAN,Sweden
1335,TU,TAR,Tunisair,TUNAIR,Tunisia
1336,3T,URN,Turan Air,TURAN,Azerbaijan
1337,TK,THY,Turkish  Airlines,TURKISH,Turkey
1338,T5,TUA,Turkmenistan Airlines,TURKMENISTAN,Turkmenistan
1340,T7,TJT,Twin Jet,TWINJET,France
1341,VO,TYR,Tyrolean  Airways,TYROLEAN,Austria
1342,B7,UIA,UNI Air,GLORY,Taiwan
1343,UA,UAL,United Airlines,UNITED,United States
1344,4H,UBD,United Airways,UNITED BANGLADESH,Bangladesh
1346,U6,SVR,Ural Airlines,SVERDLOVSK AIR,Russia
1347,QU,UGA,Uganda Airlines (1976–2001),UGANDA,Uganda
1348,UR,UGD,Uganda Airlines,CRESTED,Uganda
1349,UF,UKM,UM Airlines,UKRAINE MEDITERRANEE,Ukraine
1350,6Z,UKS,Ukrainian Cargo Airways,CARGOTRANS,Ukraine
1352,5X,UPS,United Parcel Service,UPS,United States
1353,US,AWE,US Airways,CACTUS,United States
1357,UT,UTA,UTair Aviation,UTAIR,Russia
1358,HY,UZB,Uzbekistan Airways,UZBEK,Uzbekistan
1359,PS,AUI,Ukraine International Airlines,UKRAINE INTERNATIONAL,Ukraine
1364,VF,VLU,Valuair,VALUAIR,Singapore
1366,0V,VFC,Vietnam Air Services Company(VASCO),VASCO AIR,Vietnam
1368,VN,HVN,Vietnam Airlines,VIET NAM,Vietnam
1369,NN,MOV,VIM Airlines,MOV AIR,Russia
1370,Y4,VOI,Volaris,VOLARIS,Mexico
1371,VI,VDA,Volga-Dnepr Airlines,VOLGA,Russia
1375,TV,VEX,Virgin Express,VIRGIN EXPRESS,Belgium
1377,VS,VIR,Virgin Atlantic,VIRGIN,United Kingdom
1378,ZG,VVM,Viva Macau,JACKPOT,Macao
1381,XF,VLK,Vladivostok Air,VLADAIR,Russia
1382,LC,VLO,Varig Logística,VELOG,Brazil
1384,9V,VPA,Vipair Airlines,VIAIR,Kazakhstan
1385,RG,VRN,Varig,VARIG,Brazil
1389,VG,VLM,VLM Airlines,RUBENS,Belgium
1391,UK,VTI,Vistara,Vistara,India
1393,WT,WSG,Wasaya Airways,WASAYA,Canada
1395,2W,WLC,Welcome Air,WELCOMEAIR,Austria
1396,WZ,WSF,West African Airlines,NO,Benin
1398,YH,WCW,West Caribbean Airways,WEST,Colombia
1399,8O,YWZ,West Coast Air,COAST AIR,Canada
1400,WS,WJA,WestJet,WESTJET,Canada
1405,CN,WWD,Westward Airways,WESTWARD,United States
1406,WF,WIF,Widerøe,WIDEROE,Norway
1408,WL,WLS,Air Wales Virtual,WALES,United Kingdom
1409,IV,JET,Wind Jet,GHIBLI,Italy
1410,7W,QGA,Windrose Air,QUADRIGA,Germany
1412,8Z,WVL,Wizz Air Bulgaria,WIZZBUL,Bulgaria
1413,W6,WZZ,Wizz Air,WIZZAIR,Hungary
1424,MF,CXA,Xiamen Airlines,XIAMEN AIR,China
1425,SE,SEU,XL Airways France,STARWAY,France
1426,XN,XAR,XpressAir,XPRESS,Indonesia
1429,Y8,YZR,Suparna Airlines,YANGTZE RIVER,China
1430,Y0,EMJ,Yellow Air Taxi/Friendship Airways,NO,United States
1431,IY,IYE,Yemenia,YEMENI,Yemen
1436,Q3,MBN,Zambian Airways,ZAMBIANA,Zambia
1439,Z4,OOM,Zoom Airlines,ZOOM,Canada
